ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
44-0_5-20,0.046620045,0.2390832,-0.08707689,0.10395296,0.009612872,-0.29341236,-0.14177655,-0.15892407,0.04899344,0.14581235,2020-05-01,2,Agf44,44-0,480,2021-09-01
44-0_7-20,0.16285962,0.4786066,-0.37457988,0.060582355,-0.2116967,-0.23980166,-0.33426,-0.4708638,0.17209835,0.41517955,2020-07-01,4,Agf44,44-0,420,2021-09-01
44-1_5-20,0.17322887,0.50167674,-0.22279063,0.25701517,-0.054234162,-0.32564497,-0.19127227,-0.12049028,0.051275007,0.27328366,2020-05-01,2,Agf44,44-1,480,2021-09-01
44-1_7-20,0.19377376,0.2968953,-0.10201485,0.010642618,-0.10926581,-0.30748272,-0.16453306,-0.13676941,0.096521884,0.28109273,2020-07-01,4,Agf44,44-1,420,2021-09-01
45-2_5-20,0.019950997,0.23913041,-0.096468635,0.010630444,-0.07703055,-0.2819324,-0.041157015,-0.17854609,0.17574115,0.21025977,2020-05-01,2,Agf45,45-2,480,2021-09-01
45-2_7-20,-0.06394832,0.26250508,0.032170057,0.044632114,0.07593477,-0.31525397,-0.1261463,-0.014817804,0.11981906,0.13906504,2020-07-01,4,Agf45,45-2,420,2021-09-01
46-0_5-20,0.06982459,0.3942081,-0.034259077,0.22746903,-0.03320436,-0.29321235,-0.1519927,-0.19305548,0.16779146,0.30504748,2020-05-01,2,Agf46,46-0,480,2021-09-01
46-0_7-20,-0.06669452,0.1799877,0.003364347,0.21607538,0.14520706,-0.2543757,-0.29364842,-0.14869119,0.086258605,0.053838644,2020-07-01,4,Agf46,46-0,420,2021-09-01
47-0_5-20,-0.20250803,0.1850475,-0.06315281,0.14403355,-0.022514243,-0.46618447,-0.08110523,-0.13555351,0.023827732,0.15340339,2020-05-01,2,Agf47,47-0,480,2021-09-01
47-0_7-20,0.042279158,0.27335107,-0.1853551,0.09202617,-0.001314793,-0.19380176,-0.24272081,-0.3346595,0.20427832,0.1555759,2020-07-01,4,Agf47,47-0,420,2021-09-01
